lane,file,rootPath,slug,id,date,title,verdict,selectedPlayer,pickTeam,playerTeam,pickText,playerText,pickPath,playerPath
B_SUBSEQUENTLY_TRADED_MANUAL,src/data/nfl/trades.backup-before-group1-six-premium.json,4488,2016-1st-round-pick-11th-overall-chicago-bears-2016,TB-2016-0235,,,Chicago Bears Win,Vernon Hargreaves,tampa-bay-buccaneers,tampa-bay-buccaneers,"2016 1st round pick (11th overall, Vernon Hargreaves) and 2016 4th round pick (106th overall subsequently traded, Eric Murray)",Vernon Hargreaves),assetsReceived.tampa-bay-buccaneers.3,assetsReceived.tampa-bay-buccaneers.1
B_SUBSEQUENTLY_TRADED_MANUAL,src/data/nfl/trades.backup-before-group1-six-premium.json,4562,2017-7th-round-pick-237th-overall-buccaneers-2017,MIA-2017-0273,,,Miami Dolphins Win,Isaiah Ford,miami-dolphins,miami-dolphins,"2017 7th round pick (237th overall, Isaiah Ford) and 2018 7th round pick (223rd overall subsequently traded, Jullian Taylor)",Isaiah Ford),assetsReceived.miami-dolphins.0,assetsReceived.miami-dolphins.2
B_SUBSEQUENTLY_TRADED_MANUAL,src/data/nfl/trades.backup-before-group1-six-premium.json,4648,2018-4th-round-pick-102nd-overall-jalyn-holmes-tampa-bay-buccaneers-2018,MIN-2018-0260,,,Tampa Bay Buccaneers Win,Jalyn Holmes,minnesota-vikings,minnesota-vikings,"2018 4th round pick (102nd overall, Jalyn Holmes) and 2018 6th round pick (180th overall subsequently traded, Folorunso Fatukasi)",Jalyn Holmes),assetsReceived.minnesota-vikings.0,assetsReceived.minnesota-vikings.2
B_SUBSEQUENTLY_TRADED_MANUAL,src/data/nfl/trades.backup-before-group1-six-premium.json,4827,2020-1st-round-pick-14th-overall-javon-kinlaw-tampa-bay-buccaneers-2020,SF-2020-0401,,,Tampa Bay Buccaneers Win,Javon Kinlaw,san-francisco-49ers,san-francisco-49ers,"2020 1st round pick (14th overall, Javon Kinlaw) and 2020 4th round pick (117th overall subsequently traded, D.J. Wonnum)",Javon Kinlaw),assetsReceived.san-francisco-49ers.0,assetsReceived.san-francisco-49ers.2
B_SUBSEQUENTLY_TRADED_MANUAL,src/data/nfl/trades.backup-before-group1-six-premium.json,4995,2022-1st-round-pick-27th-overall-tampa-bay-buccaneers-2022,JAX-2022-0089,,,Tampa Bay Buccaneers Win,Logan Hall,tampa-bay-buccaneers,tampa-bay-buccaneers,"2022 2nd round pick (33rd overall, Logan Hall), 2022 4th round pick (106th overall, Cade Otton), 2022 6th round pick (180th overall subsequently traded, Matt Araiza)",Logan Hall),assetsReceived.tampa-bay-buccaneers.0,assetsReceived.tampa-bay-buccaneers.2
B_SUBSEQUENTLY_TRADED_MANUAL,src/data/nfl/trades.backup-before-group1-six-premium.json,5019,2023-4th-round-pick-121st-overall-tampa-bay-buccaneers-2022,JAX-2022-0091,,,Jacksonville Jaguars Win,Zyon McCollum,tampa-bay-buccaneers,tampa-bay-buccaneers,"2022 5th round pick (157th overall, Zyon McCollum), 2022 7th round pick (235th overall subsequently traded, Daniel Hardy)",Zyon McCollum),assetsReceived.tampa-bay-buccaneers.0,assetsReceived.tampa-bay-buccaneers.2
B_SUBSEQUENTLY_TRADED_MANUAL,src/data/nfl/trades.backup-before-landmark-patch-2026-07-01T14-07-55-073Z.json,3368,1995-1st-round-pick-12th-overall-philadelphia-eagles-1995,TB-1995-0155,,,Tampa Bay Buccaneers Win,Warren Sapp,tampa-bay-buccaneers,tampa-bay-buccaneers,"1995 1st round pick (12th overall, Warren Sapp), 1995 2nd round pick (43rd overall, Melvin Johnson) and 1995 2nd round pick (63rd overall subsequently traded, Shane Hannah)",Warren Sapp),assetsReceived.tampa-bay-buccaneers.3,assetsReceived.tampa-bay-buccaneers.1
B_SUBSEQUENTLY_TRADED_MANUAL,src/data/nfl/trades.backup-before-landmark-patch-2026-07-01T14-07-55-073Z.json,3487,1998-1st-round-pick-23rd-overall-tampa-bay-buccaneers-1998,RAI-1998-0294,,,Oakland/Los Angeles/Las Vegas Raiders Win,Jacquez Green,tampa-bay-buccaneers,tampa-bay-buccaneers,"1998 2nd round pick (34th overall, Jacquez Green) and 1998 2nd round pick (59th overall subsequently traded, Mikhael Ricks)",Jacquez Green),assetsReceived.tampa-bay-buccaneers.0,assetsReceived.tampa-bay-buccaneers.2
B_SUBSEQUENTLY_TRADED_MANUAL,src/data/nfl/trades.backup-before-landmark-patch-2026-07-01T14-07-55-073Z.json,3638,2001-1st-round-pick-21st-overall-nate-clements-and-2001-2nd-round-pick-51st-over,BUF-2001-0252,,,Buffalo Bills Win,Nate Clements,buffalo-bills,buffalo-bills,"2001 1st round pick (21st overall, Nate Clements) and 2001 2nd round pick (51st overall subsequently traded, Paul Toviessi)",Nate Clements),assetsReceived.buffalo-bills.0,assetsReceived.buffalo-bills.2
B_SUBSEQUENTLY_TRADED_MANUAL,src/data/nfl/trades.backup-before-landmark-patch-2026-07-01T14-07-55-073Z.json,3832,keenan-mccardell-tampa-bay-buccaneers-2004,LAC-2004-0340,,,Los Angeles/San Diego Chargers Win,Chris Colmer,tampa-bay-buccaneers,tampa-bay-buccaneers,"2005 3rd round pick (91st overall, Chris Colmer) and 2005 6th round pick (203rd overall subsequently traded, Andrew Hoffman)",Chris Colmer),assetsReceived.tampa-bay-buccaneers.0,assetsReceived.tampa-bay-buccaneers.2
B_SUBSEQUENTLY_TRADED_MANUAL,src/data/nfl/trades.backup-before-landmark-patch-2026-07-01T14-07-55-073Z.json,4028,2008-2nd-round-pick-52nd-overall-tampa-bay-buccaneers-2008,JAX-2008-0039,,,Tampa Bay Buccaneers Win,Dexter Jackson,tampa-bay-buccaneers,tampa-bay-buccaneers,"2008 2nd round pick (58th overall, Dexter Jackson), 2008 5th round pick (158th overall subsequently traded, Kellen Davis), 2009 7th round pick (217th overall, E.J. Biggers)",Dexter Jackson),assetsReceived.tampa-bay-buccaneers.0,assetsReceived.tampa-bay-buccaneers.2
B_SUBSEQUENTLY_TRADED_MANUAL,src/data/nfl/trades.backup-before-landmark-patch-2026-07-01T14-07-55-073Z.json,4251,2011-4th-round-pick-104th-overall-philadelphia-eagles-2011,TB-2011-0215,,,Even Trade,Casey Matthews,philadelphia-eagles,philadelphia-eagles,"2011 4th round pick (116th overall, Casey Matthews) and 2012 4th round pick (99th overall subsequently traded, Ben Jones)",Casey Matthews),assetsReceived.philadelphia-eagles.3,assetsReceived.philadelphia-eagles.1
B_SUBSEQUENTLY_TRADED_MANUAL,src/data/nfl/trades.backup-before-landmark-patch-2026-07-01T14-07-55-073Z.json,4286,2012-2nd-round-pick-36th-overall-derek-wolfe-and-2012-4th-round-pick-101st-overall-omar-bo,DEN-2012-04-26-0326,,,Tampa Bay Buccaneers Win,Doug Martin,tampa-bay-buccaneers,tampa-bay-buccaneers,"2012 1st round pick (31st overall, Doug Martin) and 2012 4th round pick (126th overall subsequently traded, Jared Crick)",Doug Martin),assetsReceived.tampa-bay-buccaneers.0,assetsReceived.tampa-bay-buccaneers.2
B_SUBSEQUENTLY_TRADED_MANUAL,src/data/nfl/trades.backup-before-landmark-patch-2026-07-01T14-07-55-073Z.json,4287,2012-1st-round-pick-5th-overall-tampa-bay-buccaneers-2012,JAX-2012-0054,,,Tampa Bay Buccaneers Win,Mark Barron,tampa-bay-buccaneers,tampa-bay-buccaneers,"2012 1st round pick (7th overall, Mark Barron), 2012 4th round pick (101st overall subsequently traded, Omar Bolden)",Mark Barron),assetsReceived.tampa-bay-buccaneers.0,assetsReceived.tampa-bay-buccaneers.2
B_SUBSEQUENTLY_TRADED_MANUAL,src/data/nfl/trades.backup-before-landmark-patch-2026-07-01T14-07-55-073Z.json,4408,2014-7th-round-pick-221st-overall-randell-johnson-and-2015-5th-round-pick-137th,BUF-2014-0285,,,Buffalo Bills Win,Randell Johnson,buffalo-bills,buffalo-bills,"2014 7th round pick (221st overall, Randell Johnson) and 2015 5th round pick (137th overall subsequently traded, Grady Jarrett)",Randell Johnson),assetsReceived.buffalo-bills.0,assetsReceived.buffalo-bills.2
B_SUBSEQUENTLY_TRADED_MANUAL,src/data/nfl/trades.backup-before-landmark-patch-2026-07-01T14-07-55-073Z.json,4446,2015-2nd-round-pick-61st-overall-indianapolis-colts-2015,TB-2015-0233,,,Tampa Bay Buccaneers Win,Ali Marpet,tampa-bay-buccaneers,tampa-bay-buccaneers,"2015 2nd round pick (61st overall, Ali Marpet) and 2015 4th round pick (128th overall subsequently traded, Jon Feliciano)",Ali Marpet),assetsReceived.tampa-bay-buccaneers.3,assetsReceived.tampa-bay-buccaneers.1
B_SUBSEQUENTLY_TRADED_MANUAL,src/data/nfl/trades.backup-before-landmark-patch-2026-07-01T14-07-55-073Z.json,4488,2016-1st-round-pick-11th-overall-chicago-bears-2016,TB-2016-0235,,,Chicago Bears Win,Vernon Hargreaves,tampa-bay-buccaneers,tampa-bay-buccaneers,"2016 1st round pick (11th overall, Vernon Hargreaves) and 2016 4th round pick (106th overall subsequently traded, Eric Murray)",Vernon Hargreaves),assetsReceived.tampa-bay-buccaneers.3,assetsReceived.tampa-bay-buccaneers.1
B_SUBSEQUENTLY_TRADED_MANUAL,src/data/nfl/trades.backup-before-landmark-patch-2026-07-01T14-07-55-073Z.json,4562,2017-7th-round-pick-237th-overall-buccaneers-2017,MIA-2017-0273,,,Miami Dolphins Win,Isaiah Ford,miami-dolphins,miami-dolphins,"2017 7th round pick (237th overall, Isaiah Ford) and 2018 7th round pick (223rd overall subsequently traded, Jullian Taylor)",Isaiah Ford),assetsReceived.miami-dolphins.0,assetsReceived.miami-dolphins.2
B_SUBSEQUENTLY_TRADED_MANUAL,src/data/nfl/trades.backup-before-landmark-patch-2026-07-01T14-07-55-073Z.json,4648,2018-4th-round-pick-102nd-overall-jalyn-holmes-tampa-bay-buccaneers-2018,MIN-2018-0260,,,Tampa Bay Buccaneers Win,Jalyn Holmes,minnesota-vikings,minnesota-vikings,"2018 4th round pick (102nd overall, Jalyn Holmes) and 2018 6th round pick (180th overall subsequently traded, Folorunso Fatukasi)",Jalyn Holmes),assetsReceived.minnesota-vikings.0,assetsReceived.minnesota-vikings.2
B_SUBSEQUENTLY_TRADED_MANUAL,src/data/nfl/trades.backup-before-landmark-patch-2026-07-01T14-07-55-073Z.json,4827,2020-1st-round-pick-14th-overall-javon-kinlaw-tampa-bay-buccaneers-2020,SF-2020-0401,,,Tampa Bay Buccaneers Win,Javon Kinlaw,san-francisco-49ers,san-francisco-49ers,"2020 1st round pick (14th overall, Javon Kinlaw) and 2020 4th round pick (117th overall subsequently traded, D.J. Wonnum)",Javon Kinlaw),assetsReceived.san-francisco-49ers.0,assetsReceived.san-francisco-49ers.2
B_SUBSEQUENTLY_TRADED_MANUAL,src/data/nfl/trades.backup-before-landmark-patch-2026-07-01T14-07-55-073Z.json,4995,2022-1st-round-pick-27th-overall-tampa-bay-buccaneers-2022,JAX-2022-0089,,,Tampa Bay Buccaneers Win,Logan Hall,tampa-bay-buccaneers,tampa-bay-buccaneers,"2022 2nd round pick (33rd overall, Logan Hall), 2022 4th round pick (106th overall, Cade Otton), 2022 6th round pick (180th overall subsequently traded, Matt Araiza)",Logan Hall),assetsReceived.tampa-bay-buccaneers.0,assetsReceived.tampa-bay-buccaneers.2
B_SUBSEQUENTLY_TRADED_MANUAL,src/data/nfl/trades.backup-before-landmark-patch-2026-07-01T14-07-55-073Z.json,5019,2023-4th-round-pick-121st-overall-tampa-bay-buccaneers-2022,JAX-2022-0091,,,Jacksonville Jaguars Win,Zyon McCollum,tampa-bay-buccaneers,tampa-bay-buccaneers,"2022 5th round pick (157th overall, Zyon McCollum), 2022 7th round pick (235th overall subsequently traded, Daniel Hardy)",Zyon McCollum),assetsReceived.tampa-bay-buccaneers.0,assetsReceived.tampa-bay-buccaneers.2
B_SUBSEQUENTLY_TRADED_MANUAL,src/data/nfl/trades.backup-before-landmark-patch-2026-07-01T14-09-08-208Z.json,3368,1995-1st-round-pick-12th-overall-philadelphia-eagles-1995,TB-1995-0155,,,Tampa Bay Buccaneers Win,Warren Sapp,tampa-bay-buccaneers,tampa-bay-buccaneers,"1995 1st round pick (12th overall, Warren Sapp), 1995 2nd round pick (43rd overall, Melvin Johnson) and 1995 2nd round pick (63rd overall subsequently traded, Shane Hannah)",Warren Sapp),assetsReceived.tampa-bay-buccaneers.3,assetsReceived.tampa-bay-buccaneers.1
B_SUBSEQUENTLY_TRADED_MANUAL,src/data/nfl/trades.backup-before-landmark-patch-2026-07-01T14-09-08-208Z.json,3487,1998-1st-round-pick-23rd-overall-tampa-bay-buccaneers-1998,RAI-1998-0294,,,Oakland/Los Angeles/Las Vegas Raiders Win,Jacquez Green,tampa-bay-buccaneers,tampa-bay-buccaneers,"1998 2nd round pick (34th overall, Jacquez Green) and 1998 2nd round pick (59th overall subsequently traded, Mikhael Ricks)",Jacquez Green),assetsReceived.tampa-bay-buccaneers.0,assetsReceived.tampa-bay-buccaneers.2
B_SUBSEQUENTLY_TRADED_MANUAL,src/data/nfl/trades.backup-before-landmark-patch-2026-07-01T14-09-08-208Z.json,3638,2001-1st-round-pick-21st-overall-nate-clements-and-2001-2nd-round-pick-51st-over,BUF-2001-0252,,,Buffalo Bills Win,Nate Clements,buffalo-bills,buffalo-bills,"2001 1st round pick (21st overall, Nate Clements) and 2001 2nd round pick (51st overall subsequently traded, Paul Toviessi)",Nate Clements),assetsReceived.buffalo-bills.0,assetsReceived.buffalo-bills.2
B_SUBSEQUENTLY_TRADED_MANUAL,src/data/nfl/trades.backup-before-landmark-patch-2026-07-01T14-09-08-208Z.json,3832,keenan-mccardell-tampa-bay-buccaneers-2004,LAC-2004-0340,,,Los Angeles/San Diego Chargers Win,Chris Colmer,tampa-bay-buccaneers,tampa-bay-buccaneers,"2005 3rd round pick (91st overall, Chris Colmer) and 2005 6th round pick (203rd overall subsequently traded, Andrew Hoffman)",Chris Colmer),assetsReceived.tampa-bay-buccaneers.0,assetsReceived.tampa-bay-buccaneers.2
B_SUBSEQUENTLY_TRADED_MANUAL,src/data/nfl/trades.backup-before-landmark-patch-2026-07-01T14-09-08-208Z.json,4028,2008-2nd-round-pick-52nd-overall-tampa-bay-buccaneers-2008,JAX-2008-0039,,,Tampa Bay Buccaneers Win,Dexter Jackson,tampa-bay-buccaneers,tampa-bay-buccaneers,"2008 2nd round pick (58th overall, Dexter Jackson), 2008 5th round pick (158th overall subsequently traded, Kellen Davis), 2009 7th round pick (217th overall, E.J. Biggers)",Dexter Jackson),assetsReceived.tampa-bay-buccaneers.0,assetsReceived.tampa-bay-buccaneers.2
B_SUBSEQUENTLY_TRADED_MANUAL,src/data/nfl/trades.backup-before-landmark-patch-2026-07-01T14-09-08-208Z.json,4251,2011-4th-round-pick-104th-overall-philadelphia-eagles-2011,TB-2011-0215,,,Even Trade,Casey Matthews,philadelphia-eagles,philadelphia-eagles,"2011 4th round pick (116th overall, Casey Matthews) and 2012 4th round pick (99th overall subsequently traded, Ben Jones)",Casey Matthews),assetsReceived.philadelphia-eagles.3,assetsReceived.philadelphia-eagles.1
B_SUBSEQUENTLY_TRADED_MANUAL,src/data/nfl/trades.backup-before-landmark-patch-2026-07-01T14-09-08-208Z.json,4286,2012-2nd-round-pick-36th-overall-derek-wolfe-and-2012-4th-round-pick-101st-overall-omar-bo,DEN-2012-04-26-0326,,,Tampa Bay Buccaneers Win,Doug Martin,tampa-bay-buccaneers,tampa-bay-buccaneers,"2012 1st round pick (31st overall, Doug Martin) and 2012 4th round pick (126th overall subsequently traded, Jared Crick)",Doug Martin),assetsReceived.tampa-bay-buccaneers.0,assetsReceived.tampa-bay-buccaneers.2
B_SUBSEQUENTLY_TRADED_MANUAL,src/data/nfl/trades.backup-before-landmark-patch-2026-07-01T14-09-08-208Z.json,4287,2012-1st-round-pick-5th-overall-tampa-bay-buccaneers-2012,JAX-2012-0054,,,Tampa Bay Buccaneers Win,Mark Barron,tampa-bay-buccaneers,tampa-bay-buccaneers,"2012 1st round pick (7th overall, Mark Barron), 2012 4th round pick (101st overall subsequently traded, Omar Bolden)",Mark Barron),assetsReceived.tampa-bay-buccaneers.0,assetsReceived.tampa-bay-buccaneers.2
B_SUBSEQUENTLY_TRADED_MANUAL,src/data/nfl/trades.backup-before-landmark-patch-2026-07-01T14-09-08-208Z.json,4408,2014-7th-round-pick-221st-overall-randell-johnson-and-2015-5th-round-pick-137th,BUF-2014-0285,,,Buffalo Bills Win,Randell Johnson,buffalo-bills,buffalo-bills,"2014 7th round pick (221st overall, Randell Johnson) and 2015 5th round pick (137th overall subsequently traded, Grady Jarrett)",Randell Johnson),assetsReceived.buffalo-bills.0,assetsReceived.buffalo-bills.2
B_SUBSEQUENTLY_TRADED_MANUAL,src/data/nfl/trades.backup-before-landmark-patch-2026-07-01T14-09-08-208Z.json,4446,2015-2nd-round-pick-61st-overall-indianapolis-colts-2015,TB-2015-0233,,,Tampa Bay Buccaneers Win,Ali Marpet,tampa-bay-buccaneers,tampa-bay-buccaneers,"2015 2nd round pick (61st overall, Ali Marpet) and 2015 4th round pick (128th overall subsequently traded, Jon Feliciano)",Ali Marpet),assetsReceived.tampa-bay-buccaneers.3,assetsReceived.tampa-bay-buccaneers.1
B_SUBSEQUENTLY_TRADED_MANUAL,src/data/nfl/trades.backup-before-landmark-patch-2026-07-01T14-09-08-208Z.json,4488,2016-1st-round-pick-11th-overall-chicago-bears-2016,TB-2016-0235,,,Chicago Bears Win,Vernon Hargreaves,tampa-bay-buccaneers,tampa-bay-buccaneers,"2016 1st round pick (11th overall, Vernon Hargreaves) and 2016 4th round pick (106th overall subsequently traded, Eric Murray)",Vernon Hargreaves),assetsReceived.tampa-bay-buccaneers.3,assetsReceived.tampa-bay-buccaneers.1
B_SUBSEQUENTLY_TRADED_MANUAL,src/data/nfl/trades.backup-before-landmark-patch-2026-07-01T14-09-08-208Z.json,4562,2017-7th-round-pick-237th-overall-buccaneers-2017,MIA-2017-0273,,,Miami Dolphins Win,Isaiah Ford,miami-dolphins,miami-dolphins,"2017 7th round pick (237th overall, Isaiah Ford) and 2018 7th round pick (223rd overall subsequently traded, Jullian Taylor)",Isaiah Ford),assetsReceived.miami-dolphins.0,assetsReceived.miami-dolphins.2
B_SUBSEQUENTLY_TRADED_MANUAL,src/data/nfl/trades.backup-before-landmark-patch-2026-07-01T14-09-08-208Z.json,4648,2018-4th-round-pick-102nd-overall-jalyn-holmes-tampa-bay-buccaneers-2018,MIN-2018-0260,,,Tampa Bay Buccaneers Win,Jalyn Holmes,minnesota-vikings,minnesota-vikings,"2018 4th round pick (102nd overall, Jalyn Holmes) and 2018 6th round pick (180th overall subsequently traded, Folorunso Fatukasi)",Jalyn Holmes),assetsReceived.minnesota-vikings.0,assetsReceived.minnesota-vikings.2
B_SUBSEQUENTLY_TRADED_MANUAL,src/data/nfl/trades.backup-before-landmark-patch-2026-07-01T14-09-08-208Z.json,4827,2020-1st-round-pick-14th-overall-javon-kinlaw-tampa-bay-buccaneers-2020,SF-2020-0401,,,Tampa Bay Buccaneers Win,Javon Kinlaw,san-francisco-49ers,san-francisco-49ers,"2020 1st round pick (14th overall, Javon Kinlaw) and 2020 4th round pick (117th overall subsequently traded, D.J. Wonnum)",Javon Kinlaw),assetsReceived.san-francisco-49ers.0,assetsReceived.san-francisco-49ers.2
B_SUBSEQUENTLY_TRADED_MANUAL,src/data/nfl/trades.backup-before-landmark-patch-2026-07-01T14-09-08-208Z.json,4995,2022-1st-round-pick-27th-overall-tampa-bay-buccaneers-2022,JAX-2022-0089,,,Tampa Bay Buccaneers Win,Logan Hall,tampa-bay-buccaneers,tampa-bay-buccaneers,"2022 2nd round pick (33rd overall, Logan Hall), 2022 4th round pick (106th overall, Cade Otton), 2022 6th round pick (180th overall subsequently traded, Matt Araiza)",Logan Hall),assetsReceived.tampa-bay-buccaneers.0,assetsReceived.tampa-bay-buccaneers.2
B_SUBSEQUENTLY_TRADED_MANUAL,src/data/nfl/trades.backup-before-landmark-patch-2026-07-01T14-09-08-208Z.json,5019,2023-4th-round-pick-121st-overall-tampa-bay-buccaneers-2022,JAX-2022-0091,,,Jacksonville Jaguars Win,Zyon McCollum,tampa-bay-buccaneers,tampa-bay-buccaneers,"2022 5th round pick (157th overall, Zyon McCollum), 2022 7th round pick (235th overall subsequently traded, Daniel Hardy)",Zyon McCollum),assetsReceived.tampa-bay-buccaneers.0,assetsReceived.tampa-bay-buccaneers.2
B_SUBSEQUENTLY_TRADED_MANUAL,src/data/nfl/trades.backup-before-landmark-patch-2026-07-01T14-11-51-759Z.json,3368,1995-1st-round-pick-12th-overall-philadelphia-eagles-1995,TB-1995-0155,,,Tampa Bay Buccaneers Win,Warren Sapp,tampa-bay-buccaneers,tampa-bay-buccaneers,"1995 1st round pick (12th overall, Warren Sapp), 1995 2nd round pick (43rd overall, Melvin Johnson) and 1995 2nd round pick (63rd overall subsequently traded, Shane Hannah)",Warren Sapp),assetsReceived.tampa-bay-buccaneers.3,assetsReceived.tampa-bay-buccaneers.1
B_SUBSEQUENTLY_TRADED_MANUAL,src/data/nfl/trades.backup-before-landmark-patch-2026-07-01T14-11-51-759Z.json,3487,1998-1st-round-pick-23rd-overall-tampa-bay-buccaneers-1998,RAI-1998-0294,,,Oakland/Los Angeles/Las Vegas Raiders Win,Jacquez Green,tampa-bay-buccaneers,tampa-bay-buccaneers,"1998 2nd round pick (34th overall, Jacquez Green) and 1998 2nd round pick (59th overall subsequently traded, Mikhael Ricks)",Jacquez Green),assetsReceived.tampa-bay-buccaneers.0,assetsReceived.tampa-bay-buccaneers.2
B_SUBSEQUENTLY_TRADED_MANUAL,src/data/nfl/trades.backup-before-landmark-patch-2026-07-01T14-11-51-759Z.json,3638,2001-1st-round-pick-21st-overall-nate-clements-and-2001-2nd-round-pick-51st-over,BUF-2001-0252,,,Buffalo Bills Win,Nate Clements,buffalo-bills,buffalo-bills,"2001 1st round pick (21st overall, Nate Clements) and 2001 2nd round pick (51st overall subsequently traded, Paul Toviessi)",Nate Clements),assetsReceived.buffalo-bills.0,assetsReceived.buffalo-bills.2
B_SUBSEQUENTLY_TRADED_MANUAL,src/data/nfl/trades.backup-before-landmark-patch-2026-07-01T14-11-51-759Z.json,3832,keenan-mccardell-tampa-bay-buccaneers-2004,LAC-2004-0340,,,Los Angeles/San Diego Chargers Win,Chris Colmer,tampa-bay-buccaneers,tampa-bay-buccaneers,"2005 3rd round pick (91st overall, Chris Colmer) and 2005 6th round pick (203rd overall subsequently traded, Andrew Hoffman)",Chris Colmer),assetsReceived.tampa-bay-buccaneers.0,assetsReceived.tampa-bay-buccaneers.2
B_SUBSEQUENTLY_TRADED_MANUAL,src/data/nfl/trades.backup-before-landmark-patch-2026-07-01T14-11-51-759Z.json,4028,2008-2nd-round-pick-52nd-overall-tampa-bay-buccaneers-2008,JAX-2008-0039,,,Tampa Bay Buccaneers Win,Dexter Jackson,tampa-bay-buccaneers,tampa-bay-buccaneers,"2008 2nd round pick (58th overall, Dexter Jackson), 2008 5th round pick (158th overall subsequently traded, Kellen Davis), 2009 7th round pick (217th overall, E.J. Biggers)",Dexter Jackson),assetsReceived.tampa-bay-buccaneers.0,assetsReceived.tampa-bay-buccaneers.2
B_SUBSEQUENTLY_TRADED_MANUAL,src/data/nfl/trades.backup-before-landmark-patch-2026-07-01T14-11-51-759Z.json,4251,2011-4th-round-pick-104th-overall-philadelphia-eagles-2011,TB-2011-0215,,,Even Trade,Casey Matthews,philadelphia-eagles,philadelphia-eagles,"2011 4th round pick (116th overall, Casey Matthews) and 2012 4th round pick (99th overall subsequently traded, Ben Jones)",Casey Matthews),assetsReceived.philadelphia-eagles.3,assetsReceived.philadelphia-eagles.1
B_SUBSEQUENTLY_TRADED_MANUAL,src/data/nfl/trades.backup-before-landmark-patch-2026-07-01T14-11-51-759Z.json,4286,2012-2nd-round-pick-36th-overall-derek-wolfe-and-2012-4th-round-pick-101st-overall-omar-bo,DEN-2012-04-26-0326,,,Tampa Bay Buccaneers Win,Doug Martin,tampa-bay-buccaneers,tampa-bay-buccaneers,"2012 1st round pick (31st overall, Doug Martin) and 2012 4th round pick (126th overall subsequently traded, Jared Crick)",Doug Martin),assetsReceived.tampa-bay-buccaneers.0,assetsReceived.tampa-bay-buccaneers.2
B_SUBSEQUENTLY_TRADED_MANUAL,src/data/nfl/trades.backup-before-landmark-patch-2026-07-01T14-11-51-759Z.json,4287,2012-1st-round-pick-5th-overall-tampa-bay-buccaneers-2012,JAX-2012-0054,,,Tampa Bay Buccaneers Win,Mark Barron,tampa-bay-buccaneers,tampa-bay-buccaneers,"2012 1st round pick (7th overall, Mark Barron), 2012 4th round pick (101st overall subsequently traded, Omar Bolden)",Mark Barron),assetsReceived.tampa-bay-buccaneers.0,assetsReceived.tampa-bay-buccaneers.2
B_SUBSEQUENTLY_TRADED_MANUAL,src/data/nfl/trades.backup-before-landmark-patch-2026-07-01T14-11-51-759Z.json,4408,2014-7th-round-pick-221st-overall-randell-johnson-and-2015-5th-round-pick-137th,BUF-2014-0285,,,Buffalo Bills Win,Randell Johnson,buffalo-bills,buffalo-bills,"2014 7th round pick (221st overall, Randell Johnson) and 2015 5th round pick (137th overall subsequently traded, Grady Jarrett)",Randell Johnson),assetsReceived.buffalo-bills.0,assetsReceived.buffalo-bills.2
B_SUBSEQUENTLY_TRADED_MANUAL,src/data/nfl/trades.backup-before-landmark-patch-2026-07-01T14-11-51-759Z.json,4446,2015-2nd-round-pick-61st-overall-indianapolis-colts-2015,TB-2015-0233,,,Tampa Bay Buccaneers Win,Ali Marpet,tampa-bay-buccaneers,tampa-bay-buccaneers,"2015 2nd round pick (61st overall, Ali Marpet) and 2015 4th round pick (128th overall subsequently traded, Jon Feliciano)",Ali Marpet),assetsReceived.tampa-bay-buccaneers.3,assetsReceived.tampa-bay-buccaneers.1
B_SUBSEQUENTLY_TRADED_MANUAL,src/data/nfl/trades.backup-before-landmark-patch-2026-07-01T14-11-51-759Z.json,4488,2016-1st-round-pick-11th-overall-chicago-bears-2016,TB-2016-0235,,,Chicago Bears Win,Vernon Hargreaves,tampa-bay-buccaneers,tampa-bay-buccaneers,"2016 1st round pick (11th overall, Vernon Hargreaves) and 2016 4th round pick (106th overall subsequently traded, Eric Murray)",Vernon Hargreaves),assetsReceived.tampa-bay-buccaneers.3,assetsReceived.tampa-bay-buccaneers.1
B_SUBSEQUENTLY_TRADED_MANUAL,src/data/nfl/trades.backup-before-landmark-patch-2026-07-01T14-11-51-759Z.json,4562,2017-7th-round-pick-237th-overall-buccaneers-2017,MIA-2017-0273,,,Miami Dolphins Win,Isaiah Ford,miami-dolphins,miami-dolphins,"2017 7th round pick (237th overall, Isaiah Ford) and 2018 7th round pick (223rd overall subsequently traded, Jullian Taylor)",Isaiah Ford),assetsReceived.miami-dolphins.0,assetsReceived.miami-dolphins.2
B_SUBSEQUENTLY_TRADED_MANUAL,src/data/nfl/trades.backup-before-landmark-patch-2026-07-01T14-11-51-759Z.json,4648,2018-4th-round-pick-102nd-overall-jalyn-holmes-tampa-bay-buccaneers-2018,MIN-2018-0260,,,Tampa Bay Buccaneers Win,Jalyn Holmes,minnesota-vikings,minnesota-vikings,"2018 4th round pick (102nd overall, Jalyn Holmes) and 2018 6th round pick (180th overall subsequently traded, Folorunso Fatukasi)",Jalyn Holmes),assetsReceived.minnesota-vikings.0,assetsReceived.minnesota-vikings.2
